distance_4,distance_7,4WEE(cd1(E1)),4WEE(cd2(E1)),4WEE(ca2(E1)),4Max(cd1(E1)),4Max(cd2(E1)),4Max(ca2(E1)),4Min(cd1(E1)),4Min(cd2(E1)),4Min(ca2(E1)),4Avg(cd1(E1)),4Avg(cd2(E1)),4Avg(ca2(E1)),4WEE(cd1(E2)),4WEE(cd2(E2)),4WEE(ca2(E2)),4Max(cd1(E2)),4Max(cd2(E2)),4Max(ca2(E2)),4Min(cd1(E2)),4Min(cd2(E2)),4Min(ca2(E2)),4Avg(cd1(E2)),4Avg(cd2(E2)),4Avg(ca2(E2)),4WEE(cd1(E3)),4WEE(cd2(E3)),4WEE(ca2(E3)),4Max(cd1(E3)),4Max(cd2(E3)),4Max(ca2(E3)),4Min(cd1(E3)),4Min(cd2(E3)),4Min(ca2(E3)),4Avg(cd1(E3)),4Avg(cd2(E3)),4Avg(ca2(E3)),7WEE(cd1(E1)),7WEE(cd2(E1)),7WEE(ca2(E1)),7Max(cd1(E1)),7Max(cd2(E1)),7Max(ca2(E1)),7Min(cd1(E1)),7Min(cd2(E1)),7Min(ca2(E1)),7Avg(cd1(E1)),7Avg(cd2(E1)),7Avg(ca2(E1)),7WEE(cd1(E2)),7WEE(cd2(E2)),7WEE(ca2(E2)),7Max(cd1(E2)),7Max(cd2(E2)),7Max(ca2(E2)),7Min(cd1(E2)),7Min(cd2(E2)),7Min(ca2(E2)),7Avg(cd1(E2)),7Avg(cd2(E2)),7Avg(ca2(E2)),7WEE(cd1(E3)),7WEE(cd2(E3)),7WEE(ca2(E3)),7Max(cd1(E3)),7Max(cd2(E3)),7Max(ca2(E3)),7Min(cd1(E3)),7Min(cd2(E3)),7Min(ca2(E3)),7Avg(cd1(E3)),7Avg(cd2(E3)),7Avg(ca2(E3)),type,phase
1027,18973,0.000109956,0.000389761,0.9995002829106547,12.507855110978412,33.47746536105686,88.01229369107452,-11.62715574,-22.05215546,-93.45877104,1.2292702261912762e-05,0.000104999,2.353744870097171,0.000109886,0.000396762,0.9994933515636123,12.491358693750058,38.37476383200795,88.0892065,-11.54283013,-22.9181318,-93.31977924,-2.74E-05,1.3542712691965934e-05,0.003293489,6.121876474576824e-05,0.000207261,0.9997315200216104,15.966812418829544,34.401917188214455,95.24603712,-21.96914335,-38.04436257,-93.71530677,-1.72E-05,0.000153281,-2.344759402,0.00010499,0.000351353,0.9995436568975161,16.352025848049493,26.164974252342105,88.74269774110601,-12.28155322,-27.25510569,-91.27226691,1.7551126649669137e-05,8.806802494368644e-05,2.137617614100525,9.850320276804496e-05,0.000331242,0.9995702551886656,17.31998736083129,28.399026949746755,89.07881827661451,-12.26174195,-35.38474648,-91.09907485,-1.51E-05,-9.86E-05,0.44762957009158394,7.426810440224157e-05,0.00023892,0.9996868115709692,14.048028973095828,28.327615143596553,93.8058365,-14.01291244,-28.47793291,-84.56050523,1.609962296254716e-05,-0.000164845,-2.588821248,L,3
1034,18966,0.000329351,0.000956647,0.9987140018740924,32.77450828056335,63.315669390551164,94.23672714,-22.78508066,-41.87947037,-96.33942209,-6.65E-05,0.000130176,2.377422413856791,0.000347277,0.0010387,0.9986140231209796,33.74776458,63.70669303144001,94.24560902549901,-27.62460864,-47.51564181,-96.32055623,-0.000132222,0.000220879,0.024991193,0.000311369,0.000784086,0.9989045448774702,59.37508603636942,81.98605738910202,103.55252878929403,-40.53260587,-48.92193229,-97.52321616,2.779108583514802e-05,-0.000170537,-2.295205786,0.000331894,0.000951993,0.9987161130180056,25.632292962904863,48.66373612912956,94.39824007874651,-31.9156024,-60.5916191,-95.16584888,-1.09E-06,-0.000195985,2.1213690566879957,0.000307622,0.000874496,0.9988178824999528,22.596007944086345,39.26072098,94.42393587,-34.65302853,-64.91025554,-95.14649338,-1.83E-05,-9.74E-05,0.42968419769072785,0.000233676,0.000644259,0.9991220650253818,21.970405233585474,36.675510138721705,97.70919931,-31.52070907,-66.84002016,-90.92164097,1.7667094299519855e-05,0.000113423,-2.631342389,L,3
1046,18954,0.000234908,0.000748218,0.9990168732260271,25.16395744570568,53.303697855093006,91.72784369328951,-16.66305382,-36.92989161,-94.30958157,6.530607377496559e-05,-4.66E-05,2.3581595129013815,0.000245674,0.000791214,0.9989631113877728,31.194465439798833,45.03111888095406,91.83361379687801,-20.94924353,-43.58616286,-94.29080049,1.2096746359178598e-05,-6.94E-05,0.007041417,0.000157645,0.000432386,0.9994099689182111,30.409265863052866,38.547019795932705,97.61685355,-20.84213744,-40.19950547,-94.76047556,2.287399521030992e-05,2.2599590327542124e-05,-2.335271781,0.000210039,0.000740441,0.9990495200086387,19.83107129690659,44.87212428,92.5576235,-21.09478059,-42.32145179,-93.77171144,-6.83E-06,-3.48E-05,2.135119093657235,0.000195491,0.000672372,0.9991321369853498,17.44338835989324,32.836041061843105,92.79840134132401,-18.72319142,-51.43391135,-93.75248685,-3.26E-05,-0.00010907,0.4444821780489253,0.000144059,0.000498191,0.9993577509904914,17.95449119245631,38.58103262245875,94.92042948471901,-18.65426757,-41.64531196,-87.32774073,2.0371369172231673e-06,-1.78E-05,-2.596290068,L,3
1125,18875,0.000222563,0.000620739,0.9991566974149518,24.95441729336098,43.10161513341521,92.07099656,-18.37590364,-35.37093416,-94.41092551,6.613746037378551e-05,0.000178548,2.3591489289941947,0.000243424,0.000725722,0.999030854,30.99515209801111,47.14453392276995,92.18088480385651,-19.79926815,-43.01559812,-94.39208709,4.00228467017832e-05,9.434994313814591e-05,0.007836031,0.000161942,0.000449717,0.9993883411202373,38.15225772879951,64.46228015007975,97.89871564528502,-29.76641008,-46.71406063,-94.90194592,7.624442708926685e-08,1.6655937399700274e-05,-2.333084258,0.000212322,0.000679908,0.9991077706674711,19.392300132672133,44.854957205230505,92.88264184102052,-23.02379399,-43.46294289,-93.84141157,5.686556298154201e-07,-4.51E-05,2.1345973607543334,0.000198954,0.000549682,0.9992513636708288,20.23010428757241,32.705047257416254,93.11787444,-19.41222382,-41.05567802,-93.82211944,-1.63E-05,-7.20E-05,0.44378971615286555,0.000142113,0.000426311,0.999431577,17.42754092,38.294906437654305,95.06002551857202,-22.01509536,-44.06061215,-87.8516664,8.799090950863306e-06,9.299401552028793e-05,-2.598218477,L,3
1171,18829,0.000122082,0.00037876,0.9994991573315777,24.599736848198503,31.759314459862804,87.98986094,-14.47770344,-27.84459817,-93.45826058,2.5725441527549238e-05,6.0507465536952156e-05,2.353871964375888,0.000129292,0.000408999,0.999461709,29.566341109201332,30.857598913363155,88.06196349641651,-15.31859737,-33.42964507,-93.31970601,2.031973180110796e-05,-9.84E-05,0.003338197,7.42795481422852e-05,0.000182325,0.9997433953728182,17.18754589810588,27.513879995120785,95.23119631883952,-29.53525026,-26.40278243,-93.69337184,-2.81E-05,0.000155142,-2.344508323,0.000105002,0.000383966,0.9995110320587323,15.137251411697683,37.14055860886943,89.06529127773452,-14.69097416,-31.19024564,-91.27214638,2.326257675237535e-05,5.1631089317106616e-05,2.1376972665980816,0.000101809,0.000348714,0.9995494766510016,14.982534389430562,34.11650612099335,89.26850916005351,-13.79601313,-35.32736007,-91.09963307,-4.03E-06,-4.68E-05,0.4476119056002314,8.075890681342047e-05,0.000265633,0.9996536079762625,15.186099563075636,31.027512352643903,93.80592778,-19.40850499,-29.31717259,-85.3405843,-2.49E-06,4.2544482647177214e-05,-2.589138791,L,3
1178,18822,0.000328257,0.00100478,0.998666962,32.74953330345167,62.00447527733026,94.23360951,-25.17761579,-41.11674819,-96.3392448,-7.53E-05,0.000354989,2.379929148869252,0.000335825,0.001073753,0.9985904210722023,33.28445319095147,71.50101555510702,94.24327265406353,-27.36794329,-46.83312012,-96.32028363,-3.59E-05,0.000347793,0.026948234266532367,0.000288193,0.000823644,0.9988881629546061,56.343305130321326,78.82223619039652,103.50068539841901,-46.15600645,-61.51358034,-97.49539915,-5.94E-05,0.00038588,-2.2903394,0.000307764,0.000970757,0.9987214785376256,26.20158577298732,49.72376005,94.35774428091003,-31.71261037,-61.55874321,-95.16588313,-2.59E-05,-0.000310028,2.1201209198561806,0.000293034,0.000891879,0.9988150863231321,23.952773511202786,37.42389886,94.39432850001202,-33.9823667,-65.12448115,-95.14646478,6.099361222933353e-07,-0.000476763,0.4279298974793296,0.00022038,0.000738645,0.9990409747474176,23.628971294806213,57.781447003180254,97.70948892618101,-39.04743593,-55.80709577,-91.78150957,-1.35E-05,-0.000516125,-2.635886068,L,3
117,19883,0.000448913,0.001241156,0.9983099307050439,26.484299350145633,39.48264780451991,93.60903079123702,-23.3632433,-41.54017786,-93.99891435,4.4105254966253734e-06,-0.000243854,2.3533931790233646,0.000499443,0.001308974,0.9981915826030694,33.197731292904464,51.194051115351506,93.62481890750952,-23.50208964,-40.44514223,-93.98249115,-1.47E-05,-0.000293973,0.003376259,0.00027369,0.000685255,0.9990410554658697,22.75175836124469,77.81099869669501,99.28087962163151,-31.02177546,-39.58689399,-94.07013693,-8.96E-05,0.000228582,-2.342471557,0.000444255,0.001243897,0.9983118483137525,21.319928621003665,40.04032219478196,93.69588804,-22.76473006,-40.35855118,-93.89763324,1.2705005278046681e-05,0.000132453,2.1370871786173513,0.00036621,0.001006154,0.9986276357614263,24.90126747623006,36.1184723,93.71776966380202,-19.67525359,-36.60639426,-93.88023249,5.71345382470939e-06,0.000140338,0.44758772339089103,0.000344101,0.00093724,0.9987186586850187,20.270990614671156,39.90077943029851,95.16571406420901,-22.43171131,-41.9340217,-41.69987973,2.955125856245504e-05,-0.000189439,-2.587713158,L,3
1190,18810,0.000233531,0.000660224,0.9991062442761725,25.52486400559586,46.630441952099304,91.72291088609802,-18.73026669,-33.94148591,-94.30938998,2.898767781709151e-05,0.000147038,2.358661034872188,0.000251551,0.000706224,0.9990422251441422,31.56550840317862,46.10613284533701,91.83230427688551,-21.16272296,-43.08378632,-94.29061948,4.2817251547499085e-05,6.396746580525601e-06,0.007338021,0.000148284,0.000420347,0.9994313690356051,31.485179179868055,38.38558790142131,97.59138884176203,-30.07402593,-44.60137339,-94.75525017,-2.61E-05,-8.20E-05,-2.334119189,0.000208404,0.000635499,0.9991560971514848,20.027232764076647,46.50259146859496,92.42048988121351,-21.90354964,-38.02850926,-93.77174816,9.400304704854911e-06,-2.60E-05,2.1350246552108194,0.000191429,0.000555599,0.9992529723767082,22.83527102794237,29.609947810469556,92.65029071784251,-22.44507552,-39.81087725,-93.7524717,-3.08E-07,-8.88E-06,0.4442030208165959,0.00014104,0.00045853,0.9994004303965158,17.77530776941787,44.15192725,94.92066030558351,-21.03806988,-37.93208306,-87.89156848,1.7563794069320326e-06,0.000119539,-2.597454941,L,3
1269,18731,0.000218232,0.00064327,0.9991384978332483,24.292339662124277,46.89356144,92.06921119900352,-19.57052781,-33.00413883,-94.41095004,6.246541962196348e-06,-8.66E-05,2.359736539010006,0.000233277,0.000691645,0.9990750785895095,31.00883378690832,49.98350107328361,92.18481432828901,-20.06044852,-41.18990738,-94.3921267,2.283233801974762e-05,7.450888095643683e-05,0.008203817,0.000131477,0.000472684,0.9993958387695215,21.460427121362265,72.73755196954801,97.87208922552202,-26.58909774,-50.14898009,-94.89316758,-2.99E-05,0.000318956,-2.331846305,0.000208368,0.000648481,0.9991431510785461,20.096384106327882,47.262930194031014,93.28175706495253,-22.15746896,-45.91124153,-93.84143437,-4.16E-07,-5.15E-05,2.134476404305387,0.000193463,0.00059095,0.9992155863409156,21.78947301878248,29.708109873138305,93.42357279398752,-24.02420576,-45.39815429,-93.82224589,-2.10E-06,-0.000122274,0.443464259,0.000153518,0.000473796,0.9993726852567614,17.352390433306926,45.83121133552021,95.06011925299703,-25.97020346,-41.99705324,-88.43480342,-4.55E-05,-0.000140733,-2.599448771,L,3
1315,18685,0.000108227,0.000339932,0.9995518410597757,19.173925133916374,28.82729157811803,87.95955725,-13.32792676,-34.85990776,-93.45794397,-1.05E-05,1.0276122578221288e-05,2.353971406929012,0.000113779,0.000371921,0.9995142998062458,19.246248429169228,30.920610404294855,88.03021077227501,-12.31093107,-41.74500298,-93.31892101,-2.27E-05,-8.92E-05,0.00335453,4.979267900128657e-05,0.00017772,0.9997724877259051,15.749282012291737,28.02444196621221,95.21645033475201,-15.44459318,-34.02537961,-93.66985139,3.180350466356239e-05,7.590651032265943e-05,-2.344262596,9.501108799299192e-05,0.000346823,0.9995581655234835,14.509328412248138,40.27185619,89.56463501,-19.65022473,-34.78035174,-91.272666,-3.36E-06,4.481346643324937e-05,2.137786817033207,8.907675010355154e-05,0.000327126,0.9995837969194045,11.948162739430934,38.85207846302541,89.77944259,-18.21095599,-32.92473651,-91.09986928,-2.59E-05,8.315460542215433e-05,0.44760755796675095,6.802836110169689e-05,0.000271409,0.999660562,12.858593110766126,39.69675388831747,93.80598551685401,-15.02521233,-36.00759593,-85.88189695,1.362746382698782e-05,0.0001654,-2.589409533,L,3
