distance_4,distance_7,4WEE(cd1(E1)),4WEE(cd2(E1)),4WEE(ca2(E1)),4Max(cd1(E1)),4Max(cd2(E1)),4Max(ca2(E1)),4Min(cd1(E1)),4Min(cd2(E1)),4Min(ca2(E1)),4Avg(cd1(E1)),4Avg(cd2(E1)),4Avg(ca2(E1)),4WEE(cd1(E2)),4WEE(cd2(E2)),4WEE(ca2(E2)),4Max(cd1(E2)),4Max(cd2(E2)),4Max(ca2(E2)),4Min(cd1(E2)),4Min(cd2(E2)),4Min(ca2(E2)),4Avg(cd1(E2)),4Avg(cd2(E2)),4Avg(ca2(E2)),4WEE(cd1(E3)),4WEE(cd2(E3)),4WEE(ca2(E3)),4Max(cd1(E3)),4Max(cd2(E3)),4Max(ca2(E3)),4Min(cd1(E3)),4Min(cd2(E3)),4Min(ca2(E3)),4Avg(cd1(E3)),4Avg(cd2(E3)),4Avg(ca2(E3)),7WEE(cd1(E1)),7WEE(cd2(E1)),7WEE(ca2(E1)),7Max(cd1(E1)),7Max(cd2(E1)),7Max(ca2(E1)),7Min(cd1(E1)),7Min(cd2(E1)),7Min(ca2(E1)),7Avg(cd1(E1)),7Avg(cd2(E1)),7Avg(ca2(E1)),7WEE(cd1(E2)),7WEE(cd2(E2)),7WEE(ca2(E2)),7Max(cd1(E2)),7Max(cd2(E2)),7Max(ca2(E2)),7Min(cd1(E2)),7Min(cd2(E2)),7Min(ca2(E2)),7Avg(cd1(E2)),7Avg(cd2(E2)),7Avg(ca2(E2)),7WEE(cd1(E3)),7WEE(cd2(E3)),7WEE(ca2(E3)),7Max(cd1(E3)),7Max(cd2(E3)),7Max(ca2(E3)),7Min(cd1(E3)),7Min(cd2(E3)),7Min(ca2(E3)),7Avg(cd1(E3)),7Avg(cd2(E3)),7Avg(ca2(E3)),type,phase
1450,18550,0.000186874,0.000532677,0.9992804486826306,39.83119381206456,77.8286132,102.51455621349552,-46.59466426,-56.68630725,-97.08620806,-0.000125718,0.000397083,2.418531026987043,0.000274779,0.000802727,0.9989224945985514,42.17726038631065,63.86374682489901,94.07788836691101,-23.87414393,-46.47390901,-96.01562588,2.750852597920881e-06,0.000486235,0.025523302608856414,0.000253356,0.000820143,0.9989265011922173,32.13898220568599,60.654839720038154,94.06730853841702,-24.19297017,-47.48152697,-96.02684147,2.9833364153949742e-05,0.000724501,-2.329770888,0.000261806,0.000763173,0.9989750210986044,29.42367847178082,63.60555345594301,97.28027501,-43.84124979,-79.93746837,-92.90421111,0.000105966,-0.000179557,2.095443975158204,0.000230341,0.000708459,0.9990612,25.019813561105867,41.22519309131341,94.35717290301501,-32.54482558,-60.35045752,-94.93762516,3.820816198206612e-05,-0.00062573,0.4286220446073355,0.000203919,0.000644859,0.9991512213620253,23.338816649773154,42.03700195330191,94.34676381,-33.90999942,-60.92356664,-94.94592813,1.8389505077505403e-05,-0.000676457,-2.606311522,L,1
1500,18500,0.000227534,0.000518056,0.9992544098239979,54.969932653944525,67.69498041751326,103.66806130768502,-33.21216447,-70.61240493,-97.59448361,-2.15E-05,-0.000335099,2.433170425267491,0.000325263,0.000836661,0.9988380765018556,55.20078842075895,62.88067612577486,94.26901802462851,-29.22031817,-51.02827137,-96.42148282,0.000102341,0.000129672,0.031849544,0.000303371,0.000811734,0.9988848953737722,45.87270296775808,57.78077794,94.25575722348351,-29.56343083,-52.84146491,-96.43264796,7.288348229529387e-05,0.000289576,-2.323329975,0.000290789,0.000784817,0.9989243940123939,35.00139371046575,65.69089830436852,97.83839582022352,-50.22615514,-73.32409507,-93.56480277,7.799516814651243e-05,0.000429266,2.0851141929554635,0.000253607,0.000694667,0.9990517262706183,23.76424455356325,52.074889807763014,94.5710874,-40.84822836,-59.1138507,-95.21654635,-3.19E-05,-6.60E-05,0.4232768773480371,0.000221012,0.000610562,0.9991684260838073,21.57005714450002,50.89318228888396,94.55611561102052,-41.35130883,-63.06449671,-95.22488709,-3.95E-05,-1.58E-05,-2.61179043,L,1
150,19850,0.000220874,0.000600249,0.9991788763613988,31.384542502590556,60.92565151558681,98.05535535571352,-33.40708402,-58.96315397,-93.86174609,-2.15E-05,-0.000202575,2.3635076962139756,0.000396265,0.000957228,0.9986465071339292,32.724657306942724,45.29759749302081,93.4077946,-18.95613969,-37.98864449,-93.89431697,-1.26E-06,-0.000141481,0.003235705,0.000324917,0.000807412,0.9988676708209522,28.819292193633164,38.714947359996806,93.32928788,-19.42926549,-36.51030159,-93.90418098,-4.86E-07,-9.02E-05,-2.353169385,0.000449784,0.001122968,0.9984272478110412,20.453910550749374,38.69487313,94.86128685818602,-22.11950514,-40.18812465,-60.30858734,-1.39E-05,0.000220307,2.1368661711326746,0.000295036,0.00072624,0.9989787234742573,25.284643037222285,31.999421484948655,93.52219253044602,-16.51871961,-29.17533487,-93.73219212,4.88563902019698e-06,5.3812338421453397e-05,0.4476852277024398,0.000253834,0.000654463,0.9990917024673888,22.591113245081065,32.40887725580687,93.51251606506052,-17.38594542,-32.221442,-93.7398017,1.1404856229595166e-05,5.700088082201984e-05,-2.587217004,L,1
1550,18450,4.2314033103116794e-05,0.000110263,0.9998474230506511,12.680276438216657,31.022539050128003,94.01413904,-28.37740865,-30.64568891,-91.67314513,-1.96E-05,2.6618594786925693e-05,2.3588365576543118,5.253876012025984e-05,0.000210672,0.9997367895957509,15.133998087822738,34.33510036,85.24432582853001,-10.75824997,-30.01958127,-89.92590186,-5.52E-06,5.4805520369787395e-05,0.002424355,4.439340573674322e-05,0.000172687,0.999782919,15.133954336432215,29.04457122662628,84.90054231543002,-10.72568407,-25.25073498,-90.0488105,1.0339518984350845e-05,5.661261367886298e-05,-2.353860071,4.3335899065315405e-05,0.000159824,0.9997968405863907,11.709668154421985,32.69670998541456,91.49545308,-11.20722895,-29.29686985,-85.39093928,7.636445836019405e-06,9.193832803501463e-06,2.1375550694071825,4.592811379070219e-05,0.000175166,0.9997789056336522,12.451646369263395,31.29173890577776,87.39510267,-7.32494407,-25.25631452,-88.05286164,-7.69E-06,-7.36E-05,0.4484365779385336,4.117241770156457e-05,0.000154962,0.9998038659372593,11.315004937411377,32.192972634858265,87.29321112,-7.880635522,-27.3764809,-88.15735862,7.668373356683596e-06,-6.57E-05,-2.586330571,L,1
1600,18400,0.000189234,0.000529035,0.9992817309520817,51.50804049559568,72.88509211122201,102.75727118693301,-34.7271416,-78.88552088,-97.18769796,-1.01E-05,-0.000284682,2.4253303989423727,0.000293839,0.000758013,0.9989481483371087,55.43347491388082,65.19293468,94.12831093143251,-27.42438191,-53.30723412,-96.11689746,4.46816853077916e-05,-0.000237758,0.028025634400728087,0.000267378,0.000737207,0.9989954153219657,48.171825735506786,62.73642286676102,94.11489714,-27.85481531,-49.94489959,-96.12805931,2.2767886456342772e-05,-0.000387827,-2.327022286,0.000236366,0.000811259,0.9989523745789818,25.435724368770945,64.59290570928701,97.42018779035553,-48.22883055,-80.42739,-93.54925522,9.368737306720803e-05,-0.000295047,2.0920804053156576,0.000216067,0.000627663,0.99915627,23.121705572084107,51.76573400080015,94.42138131929052,-40.55626274,-65.51987564,-95.00744046,3.8787359245903783e-05,0.000272692,0.42634636014954824,0.000198297,0.000588344,0.9992133592412017,20.525632589667854,48.49414875175427,94.40565985,-38.15813079,-62.92663114,-95.01578346,1.569055836836948e-05,0.000430862,-2.608513401,L,1
1650,18350,0.000211606,0.000535061,0.9992533326611365,44.36732674301972,74.83647829543202,104.19592925215352,-43.60770695,-60.98272325,-97.81816733,-5.88E-05,0.00010263,2.4445709987013493,0.000295969,0.000739203,0.9989648279642079,58.331899477680636,61.208171565398004,94.36824268386302,-25.69557276,-46.72238722,-96.62429412,0.000106107,-0.00011466,0.036178656,0.000289042,0.000767787,0.9989431706028261,56.87637601524692,60.51325092822505,94.3505258,-25.87843427,-50.93817594,-96.63550459,0.000146602,2.139762599666833e-05,-2.31861462,0.000246597,0.000882384,0.9988710192162138,35.311545788028184,68.70023752372401,98.11735664756552,-54.88220736,-84.45983708,-93.73122383,0.000125586,-0.000565223,2.0795568777469104,0.000244056,0.000674878,0.9990810666705547,22.760384652479818,44.0313416,94.69699973339101,-57.05271927,-64.07915393,-95.35613489,-9.30E-05,-0.000370178,0.4191408879412031,0.000213674,0.000621517,0.9991648090293445,22.536339339460177,50.14663797826606,94.67010911573001,-54.44748499,-66.41112488,-95.36444664,-3.16E-05,-0.000157222,-2.615862585,L,1
1700,18300,0.000173932,0.000503132,0.9993229354365052,43.88711987769987,72.03948228557351,102.43307236211601,-34.38477839,-67.90156869,-97.03757023,1.9589393203480706e-05,-2.73E-05,2.4240788777299036,0.000265349,0.000701645,0.9990330061691486,54.041017443539104,57.00590939550986,94.08268621961751,-23.96004107,-53.58257899,-96.01527241,0.000104832,-0.000521983,0.026920790299367118,0.000250183,0.000688738,0.9990610787930645,53.00379302626894,58.569821385715166,94.06845461831651,-24.30476302,-46.92084167,-96.02643118,0.000131192,-0.0006962,-2.327934053,0.000250669,0.000738507,0.999010824,35.79725629607576,63.86848552541775,97.28088445,-43.33814319,-82.65980271,-93.5843409,9.721843926011208e-05,-0.000237498,2.0944500345979757,0.000214915,0.000608587,0.999176497,21.703052181794668,51.879931404668504,94.37577363,-35.60692851,-62.36978889,-94.93778257,-3.40E-05,0.000336408,0.4270416149867737,0.00019,0.000562445,0.9992475559452713,19.84908601525956,51.06250265410441,94.35658634352953,-32.77442698,-63.90200761,-94.94612847,-3.40E-05,0.000436231,-2.60771365,L,1
1750,18250,0.000218548,0.000535118,0.999246334,41.79754651709496,66.64294369848476,103.5774817,-49.07332597,-61.25301942,-97.53587906,-2.85E-05,-5.44E-05,2.4396225604563844,0.000261829,0.000714889,0.9990232815891434,49.48417062553223,62.87897317402336,94.27613303264752,-25.74906614,-46.14336388,-96.42118672,0.000104357,-0.000470443,0.033405717983977644,0.000245982,0.000702132,0.9990518865453311,55.63278663263285,64.38860092915301,94.25684492646002,-26.36552536,-50.50603753,-96.43239389,8.601300289739899e-05,-0.000381432,-2.321215675,0.000287583,0.000754082,0.9989583348891603,38.521625891293624,66.77264960594852,97.83850893491203,-51.54146019,-84.63423274,-93.74106757,4.648373976761086e-05,4.553201840437797e-05,2.0851828608065692,0.000197796,0.00063677,0.9991654340026235,22.148599569236538,42.80394509328953,94.60004424,-33.67746032,-67.42422996,-95.21676724,2.1450210370382054e-05,0.000234647,0.42130832459729006,0.000174141,0.000588158,0.9992377008222372,23.257136785040167,48.61868780605036,94.57304088698203,-26.50929873,-62.2539808,-95.22508216,2.7003395124368427e-05,0.000280068,-2.613522071,L,1
1800,18200,3.561743346163734e-05,0.000104122,0.9998602605935776,11.927135951257936,24.823819610668856,93.99742189345253,-19.27279882,-28.65670881,-91.45629756,-5.49E-06,6.528567902853954e-05,2.3588340236620287,4.683325895168911e-05,0.000158999,0.9997941677675354,9.636421292453635,19.198459892088604,85.26808259,-12.18208594,-20.89763535,-89.92565275,-1.31E-05,-0.000115885,0.002399583,4.049011677260101e-05,0.000134932,0.9998245780994258,9.636377523,20.23271322033831,84.91996608049651,-11.20561875,-21.38156405,-90.04788135,-7.93E-06,-1.91E-05,-2.353871179,4.431793397254044e-05,0.000167006,0.9997886756862387,12.753934106555874,32.53376118768945,91.49586558429701,-14.09948448,-28.49589689,-85.98695498,1.0386748114468047e-05,5.368288077901725e-06,2.1375835889767045,4.168169815966061e-05,0.000158013,0.9998003056688421,12.682193720575519,28.56011296283195,87.40456769,-7.371043193,-19.58030907,-88.05350979,8.671389073423654e-07,3.085130073124859e-05,0.44847216283709584,3.619859547043615e-05,0.000140372,0.9998234294508157,12.745697301924768,27.397054171793584,87.30251705664602,-7.349119136,-15.45225826,-88.15768555,6.745324246155669e-06,6.58308417377899e-05,-2.586288511,L,1
1850,18150,0.000196299,0.000516657,0.9992870433347294,33.45302033,63.11317342184471,102.67335702654651,-53.88793869,-67.4948656,-97.12342428,-1.86E-05,-1.50E-05,2.430537177231458,0.000258409,0.000662593,0.9990789978806484,41.99084841745877,65.57993996,94.13517538,-26.56344949,-48.94259759,-96.11662549,6.86131539266965e-05,-0.000225404,0.028949196,0.000247689,0.000635054,0.999117258,51.70626255769965,63.979705404972506,94.11581865472951,-27.26180774,-51.23544544,-96.12782815,0.000147301,0.000143362,-2.325554476,0.000233671,0.000720232,0.9990460976111414,31.125918593313614,68.64238099335802,97.42027579354303,-43.85633743,-84.51080471,-93.70951032,6.496320442156544e-05,8.239641767378168e-05,2.093175802106443,0.00019238,0.000577087,0.9992305328817367,21.33923474,40.60851409,94.44752877272751,-38.61857999,-61.83633364,-95.00765229,-7.32E-05,0.000182448,0.4250316076634906,0.00017122,0.000516321,0.9993124583285622,22.14695684382221,49.50128978543526,94.42074523774652,-36.00309515,-58.90332947,-95.01597043,-4.63E-05,0.000159087,-2.609610784,L,1
