phase,distance_node_4,distance_node_7,Time_4_1,Time_4_2,Time_4_3,Time_7_1,Time_7_2,Time_7_3
2,1000,19000,0.01000305,0.01000305,0.01000305,0.010057625,0.010057625,0.010057625
2,100,19900,0.010000325,0.010000325,0.010000325,0.01006035,0.01006035,0.01006035
2,1025,18975,0.010003125,0.010003125,0.010003125,0.01005755,0.01005755,0.01005755
2,1050,18950,0.0100032,0.0100032,0.0100032,0.010057475,0.010057475,0.010057475
2,1075,18925,0.010003275,0.010003275,0.010003275,0.010057425,0.0100574,0.010057425
2,1100,18900,0.01000335,0.01000335,0.01000335,0.010057325,0.010057325,0.010057325
2,1125,18875,0.010003425,0.010003425,0.010003425,0.01005725,0.01005725,0.01005725
2,1150,18850,0.0100035,0.0100035,0.0100035,0.010057175,0.010057175,0.010057175
2,1175,18825,0.010003575,0.010003575,0.010003575,0.010057125,0.0100571,0.010057125
2,1200,18800,0.01000365,0.01000365,0.01000365,0.010057025,0.010057,0.010057025
2,1225,18775,0.010003725,0.010003725,0.010003725,0.01005695,0.01005695,0.01005695
2,1250,18750,0.0100038,0.0100038,0.0100038,0.010056875,0.010056875,0.010056875
2,125,19875,0.0100004,0.0100004,0.0100004,0.0100603,0.010060275,0.0100603
2,1275,18725,0.010003875,0.010003875,0.010003875,0.010056825,0.0100568,0.010056825
2,1300,18700,0.01000395,0.01000395,0.01000395,0.010056725,0.0100567,0.010056725
2,1325,18675,0.010004025,0.010004025,0.010004025,0.01005665,0.01005665,0.01005665
2,1350,18650,0.0100041,0.0100041,0.0100041,0.010056575,0.010056575,0.010056575
2,1375,18625,0.0100042,0.010004175,0.0100042,0.0100565,0.0100565,0.0100565
2,1400,18600,0.01000425,0.01000425,0.01000425,0.0100564,0.0100564,0.0100564
2,1425,18575,0.01000435,0.010004325,0.01000435,0.01005635,0.01005635,0.01005635
2,1450,18550,0.010004425,0.0100044,0.010004425,0.010056275,0.01005625,0.010056275
2,1475,18525,0.0100045,0.0100045,0.0100045,0.0100562,0.0100562,0.0100562
2,1500,18500,0.010004575,0.010004575,0.010004575,0.0100561,0.0100561,0.0100561
2,150,19850,0.010000475,0.010000475,0.010000475,0.010060225,0.0100602,0.010060225
2,1525,18475,0.01000465,0.01000465,0.01000465,0.01005605,0.010056025,0.01005605
2,1550,18450,0.010004725,0.010004725,0.010004725,0.010055975,0.01005595,0.010055975
2,1575,18425,0.0100048,0.0100048,0.0100048,0.0100559,0.0100559,0.0100559
2,1600,18400,0.010004875,0.010004875,0.010004875,0.0100558,0.0100558,0.0100558
2,1625,18375,0.01000495,0.01000495,0.01000495,0.01005575,0.010055725,0.01005575
2,1650,18350,0.010005025,0.010005025,0.010005025,0.010055675,0.01005565,0.010055675
2,1675,18325,0.0100051,0.0100051,0.0100051,0.0100556,0.0100556,0.0100556
2,1700,18300,0.010005175,0.010005175,0.010005175,0.0100555,0.0100555,0.0100555
2,1725,18275,0.01000525,0.01000525,0.01000525,0.01005545,0.010055425,0.01005545
2,1750,18250,0.010005325,0.010005325,0.010005325,0.010055375,0.01005535,0.010055375
2,175,19825,0.01000055,0.01000055,0.01000055,0.01006015,0.01006015,0.01006015
2,1775,18225,0.0100054,0.0100054,0.0100054,0.0100553,0.010055275,0.0100553
2,1800,18200,0.010005475,0.010005475,0.010005475,0.0100552,0.0100552,0.0100552
2,1825,18175,0.01000555,0.01000555,0.01000555,0.010055125,0.010055125,0.010055125
2,1850,18150,0.010005625,0.010005625,0.010005625,0.01005505,0.01005505,0.01005505
2,1875,18125,0.0100057,0.0100057,0.0100057,0.010055,0.010054975,0.010055
2,1900,18100,0.010005775,0.010005775,0.010005775,0.0100549,0.0100549,0.0100549
2,1925,18075,0.01000585,0.01000585,0.01000585,0.010054825,0.010054825,0.010054825
2,1950,18050,0.010005925,0.010005925,0.010005925,0.01005475,0.01005475,0.01005475
2,1975,18025,0.010006,0.010006,0.010006,0.0100547,0.010054675,0.0100547
2,2000,18000,0.010006075,0.010006075,0.010006075,0.0100546,0.010054575,0.0100546
2,200,19800,0.010000625,0.010000625,0.010000625,0.01006005,0.01006005,0.01006005
2,2025,17975,0.01000615,0.01000615,0.01000615,0.010054525,0.010054525,0.010054525
2,2050,17950,0.010006225,0.010006225,0.010006225,0.01005445,0.01005445,0.01005445
2,2075,17925,0.0100063,0.0100063,0.0100063,0.010054375,0.010054375,0.010054375
2,2100,17900,0.010006375,0.010006375,0.010006375,0.0100543,0.010054275,0.0100543
2,2125,17875,0.01000645,0.01000645,0.01000645,0.010054225,0.010054225,0.010054225
2,2150,17850,0.010006525,0.010006525,0.010006525,0.01005415,0.01005415,0.01005415
2,2175,17825,0.010006625,0.010006625,0.010006625,0.010054075,0.010054075,0.010054075
2,2200,17800,0.010006675,0.010006675,0.010006675,0.010053975,0.010053975,0.010053975
2,2225,17775,0.010006775,0.010006775,0.010006775,0.010053925,0.0100539,0.010053925
2,2250,17750,0.01000685,0.01000685,0.01000685,0.01005385,0.010053825,0.01005385
2,225,19775,0.0100007,0.0100007,0.0100007,0.01006,0.010059975,0.01006
2,2275,17725,0.010006925,0.010006925,0.010006925,0.010053775,0.010053775,0.010053775
2,2300,17700,0.010007,0.010007,0.010007,0.010053675,0.010053675,0.010053675
2,2325,17675,0.010007075,0.010007075,0.010007075,0.010053625,0.0100536,0.010053625
2,2350,17650,0.01000715,0.01000715,0.01000715,0.01005355,0.010053525,0.01005355
2,2375,17625,0.010007225,0.010007225,0.010007225,0.010053475,0.010053475,0.010053475
2,2400,17600,0.0100073,0.0100073,0.0100073,0.010053375,0.010053375,0.010053375
2,2425,17575,0.010007375,0.010007375,0.010007375,0.010053325,0.0100533,0.010053325
2,2450,17550,0.01000745,0.01000745,0.01000745,0.01005325,0.010053225,0.01005325
2,2475,17525,0.010007525,0.010007525,0.010007525,0.010053175,0.010053175,0.010053175
2,2500,17500,0.0100076,0.0100076,0.0100076,0.010053075,0.010053075,0.010053075
2,250,19750,0.010000775,0.010000775,0.010000775,0.0100599,0.0100599,0.0100599
2,2525,17475,0.010007675,0.010007675,0.010007675,0.010053,0.010053,0.010053
2,2550,17450,0.01000775,0.01000775,0.01000775,0.010052925,0.010052925,0.010052925
2,2575,17425,0.010007825,0.010007825,0.010007825,0.010052875,0.01005285,0.010052875
2,25,19975,0.0100001,0.0100001,0.0100001,0.0100606,0.0100606,0.0100606
2,2600,17400,0.0100079,0.0100079,0.0100079,0.010052775,0.010052775,0.010052775
2,2625,17375,0.010007975,0.010007975,0.010007975,0.0100527,0.0100527,0.0100527
2,2650,17350,0.01000805,0.01000805,0.01000805,0.010052625,0.010052625,0.010052625
2,2675,17325,0.010008125,0.010008125,0.010008125,0.010052575,0.01005255,0.010052575
2,2700,17300,0.0100082,0.0100082,0.0100082,0.010052475,0.01005245,0.010052475
2,2725,17275,0.010008275,0.010008275,0.010008275,0.0100524,0.0100524,0.0100524
2,2750,17250,0.01000835,0.01000835,0.01000835,0.010052325,0.010052325,0.010052325
2,275,19725,0.01000085,0.01000085,0.01000085,0.01005985,0.010059825,0.01005985
2,2775,17225,0.010008425,0.010008425,0.010008425,0.010052275,0.01005225,0.010052275
2,2800,17200,0.0100085,0.0100085,0.0100085,0.010052175,0.01005215,0.010052175
2,2825,17175,0.010008575,0.010008575,0.010008575,0.0100521,0.0100521,0.0100521
2,2850,17150,0.01000865,0.01000865,0.01000865,0.010052025,0.010052025,0.010052025
2,2875,17125,0.01000875,0.010008725,0.01000875,0.01005195,0.01005195,0.01005195
2,2900,17100,0.0100088,0.0100088,0.0100088,0.010051875,0.01005185,0.010051875
2,2925,17075,0.0100089,0.010008875,0.0100089,0.0100518,0.0100518,0.0100518
2,2950,17050,0.010008975,0.01000895,0.010008975,0.010051725,0.0100517,0.010051725
2,2975,17025,0.01000905,0.01000905,0.01000905,0.01005165,0.01005165,0.01005165
2,3000,17000,0.010009125,0.010009125,0.010009125,0.01005155,0.01005155,0.01005155
2,300,19700,0.010000925,0.010000925,0.010000925,0.01005975,0.01005975,0.01005975
2,3025,16975,0.0100092,0.0100092,0.0100092,0.0100515,0.010051475,0.0100515
2,3050,16950,0.010009275,0.010009275,0.010009275,0.010051425,0.0100514,0.010051425
2,3075,16925,0.01000935,0.01000935,0.01000935,0.01005135,0.01005135,0.01005135
2,3100,16900,0.010009425,0.010009425,0.010009425,0.01005125,0.01005125,0.01005125
2,3125,16875,0.0100095,0.0100095,0.0100095,0.0100512,0.010051175,0.0100512
2,3150,16850,0.010009575,0.010009575,0.010009575,0.010051125,0.0100511,0.010051125
2,3175,16825,0.01000965,0.01000965,0.01000965,0.01005105,0.01005105,0.01005105
2,3200,16800,0.010009725,0.010009725,0.010009725,0.01005095,0.01005095,0.01005095
2,3225,16775,0.0100098,0.0100098,0.0100098,0.0100509,0.010050875,0.0100509
2,3250,16750,0.010009875,0.010009875,0.010009875,0.010050825,0.0100508,0.010050825
2,325,19675,0.010001,0.010001,0.010001,0.010059675,0.010059675,0.010059675
2,3275,16725,0.01000995,0.01000995,0.01000995,0.01005075,0.010050725,0.01005075
2,3300,16700,0.010010025,0.010010025,0.010010025,0.01005065,0.01005065,0.01005065
2,3325,16675,0.0100101,0.0100101,0.0100101,0.010050575,0.010050575,0.010050575
2,3350,16650,0.010010175,0.010010175,0.010010175,0.0100505,0.0100505,0.0100505
2,3375,16625,0.01001025,0.01001025,0.01001025,0.01005045,0.010050425,0.01005045
2,3400,16600,0.010010325,0.010010325,0.010010325,0.01005035,0.01005035,0.01005035
2,3425,16575,0.0100104,0.0100104,0.0100104,0.010050275,0.010050275,0.010050275
