phase,distance_node_4,distance_node_7,Time_4_1,Time_4_2,Time_4_3,Time_7_1,Time_7_2,Time_7_3
3,1027,18973,0.010003125,0.010003125,0.010003125,0.010057575,0.010057575,0.01005755
3,1034,18966,0.01000315,0.01000315,0.01000315,0.010057525,0.010057525,0.010057525
3,1046,18954,0.0100032,0.0100032,0.010003175,0.0100575,0.0100575,0.010057475
3,1125,18875,0.010003425,0.010003425,0.010003425,0.01005725,0.01005725,0.01005725
3,1171,18829,0.010003575,0.010003575,0.010003575,0.010057125,0.010057125,0.010057125
3,1178,18822,0.010003575,0.010003575,0.010003575,0.010057075,0.010057075,0.010057075
3,117,19883,0.010000375,0.010000375,0.010000375,0.010060325,0.010060325,0.0100603
3,1190,18810,0.010003625,0.010003625,0.010003625,0.01005705,0.01005705,0.01005705
3,1269,18731,0.010003875,0.010003875,0.010003875,0.010056825,0.010056825,0.0100568
3,1315,18685,0.010004,0.010004,0.010004,0.0100567,0.0100567,0.010056675
3,1322,18678,0.010004025,0.010004025,0.010004025,0.01005665,0.01005665,0.01005665
3,1334,18666,0.01000405,0.01000405,0.01000405,0.010056625,0.010056625,0.010056625
3,1413,18587,0.0100043,0.0100043,0.0100043,0.010056375,0.010056375,0.010056375
3,1459,18541,0.01000445,0.01000445,0.01000445,0.01005625,0.01005625,0.01005625
3,145,19855,0.01000045,0.01000045,0.01000045,0.010060225,0.010060225,0.010060225
3,1466,18534,0.01000445,0.01000445,0.01000445,0.0100562,0.0100562,0.0100562
3,1478,18522,0.0100045,0.0100045,0.0100045,0.0100562,0.0100562,0.010056175
3,1557,18443,0.01000475,0.01000475,0.010004725,0.01005595,0.01005595,0.010055925
3,1603,18397,0.010004875,0.010004875,0.010004875,0.010055825,0.010055825,0.0100558
3,1610,18390,0.0100049,0.0100049,0.0100049,0.010055775,0.010055775,0.010055775
3,1622,18378,0.010004925,0.010004925,0.010004925,0.01005575,0.01005575,0.01005575
3,163,19837,0.010000525,0.010000525,0.0100005,0.010060175,0.010060175,0.010060175
3,1701,18299,0.010005175,0.010005175,0.010005175,0.0100555,0.0100555,0.0100555
3,170,19830,0.010000525,0.010000525,0.010000525,0.01006015,0.01006015,0.010060125
3,1747,18253,0.010005325,0.010005325,0.010005325,0.010055375,0.010055375,0.010055375
3,1754,18246,0.010005325,0.010005325,0.010005325,0.01005535,0.01005535,0.010055325
3,1766,18234,0.010005375,0.010005375,0.010005375,0.010055325,0.010055325,0.0100553
3,182,19818,0.010000575,0.010000575,0.010000575,0.010060125,0.010060125,0.0100601
3,1845,18155,0.0100056,0.0100056,0.0100056,0.010055075,0.010055075,0.010055075
3,1891,18109,0.01000575,0.01000575,0.01000575,0.01005495,0.01005495,0.010054925
3,1898,18102,0.010005775,0.010005775,0.010005775,0.0100549,0.0100549,0.0100549
3,1910,18090,0.0100058,0.0100058,0.0100058,0.010054875,0.010054875,0.010054875
3,191,19809,0.0100006,0.0100006,0.0100006,0.0100601,0.0100601,0.0100601
